Date,Account Name,Description,Category,To With Sym,To Num.
17/5/2013,Fuel,Petronas,Credit Card,RM30.00,30
21/5/2013,Fuel,Petronas,Credit Card,RM91.64,91.64
28/5/2013,Fuel,Shell,Credit Card,RM87.61,87.61
12/5/2013,Toll,Toll,Cash in Wallet,RM2.30,2.3
18/5/2013,Toll,Toll,Cash in Wallet,RM9.60,9.6
19/5/2013,Toll,Toll,Cash in Wallet,RM2.20,2.2
24/5/2013,Toll,Toll,Cash in Wallet,RM12.20,12.2
25/5/2013,Toll,Toll,Cash in Wallet,RM14.00,14
28/5/2013,Toll,Toll,Cash in Wallet,RM5.20,5.2
4/5/2013,Clothes,Aeon Bukit Tinggi,Cash in Wallet,RM31.80,31.8
8/5/2013,Dining,Yok Mampir,Cash in Wallet,RM9.00,9
9/5/2013,Dining,Ayam Penyet,Cash in Wallet,RM20.00,20
10/5/2013,Dining,Foodcourt Al Hijrah,Cash in Wallet,RM6.50,6.5
12/5/2013,Dining,Burger,Cash in Wallet,RM5.00,5
15/5/2013,Dining,Others Makan,Cash in Wallet,RM7.30,7.3
16/5/2013,Dining,Wong Solo,Cash in Wallet,RM21.80,21.8
17/5/2013,Dining,Foodcourt Al Hijrah,Cash in Wallet,RM5.00,5
17/5/2013,Dining,Others Makan,Cash in Wallet,RM5.00,5
17/5/2013,Dining,Petronas,Cash in Wallet,RM5.30,5.3
18/5/2013,Dining,Carls Jr,Cash in Wallet,RM51.00,51
18/5/2013,Dining,Noorharyantie,Cash in Wallet,RM10.00,10
19/5/2013,Dining,Adam Lai,Cash in Wallet,RM36.50,36.5
20/5/2013,Dining,Others Makan,Maybank,RM8.50,8.5
21/5/2013,Dining,Others Makan,Cash in Wallet,RM4.00,4
23/5/2013,Dining,Foodcourt 1sentral,Cash in Wallet,RM6.50,6.5
24/5/2013,Dining,Others Makan,Cash in Wallet,RM2.00,2
25/5/2013,Dining,Others Makan,Cash in Wallet,RM11.20,11.2
27/5/2013,Dining,Foodcourt 1sentral,Cash in Wallet,RM6.70,6.7
27/5/2013,Dining,Others Makan,Cash in Wallet,RM4.90,4.9
29/5/2013,Dining,Foodcourt 1sentral,Cash in Wallet,RM8.50,8.5
30/5/2013,Dining,Foodcourt 1sentral,Cash in Wallet,RM6.50,6.5
31/5/2013,Dining,Others Makan,Cash in Wallet,RM3.00,3
1/6/2013,Dining,Others Makan,Cash in Wallet,RM11.60,11.6
30/4/2013,Groceries,Giant,Credit Card,RM96.95,96.95
7/5/2013,Groceries,Aeon Big,Cash in Wallet,RM21.20,21.2
10/5/2013,Groceries,Aeon Big,Cash in Wallet,RM47.70,47.7
12/5/2013,Groceries,Aeon Big,Cash in Wallet,RM26.40,26.4
12/5/2013,Groceries,Others,Cash in Wallet,RM13.00,13
14/5/2013,Groceries,Aeon Bukit Raja,Credit Card,RM16.85,16.85
19/5/2013,Groceries,Giant,Credit Card,RM139.80,139.8
25/5/2013,Groceries,Others,Cash in Wallet,RM40.00,40
3/6/2013,Groceries,Aeon Bukit Raja,Cash in Wallet,RM22.70,22.7
1/6/2013,ASB,Maybank,Maybank,RM300.00,300
21/5/2013,Car,Ambank,Cash in Wallet,"RM1,300.00","1,300.00"
7/5/2013,Miscellaneous,Others,Cash in Wallet,RM130.00,130
10/5/2013,Miscellaneous,Pharmacy,Cash in Wallet,RM70.60,70.6
17/5/2013,Miscellaneous,Others,Cash in Wallet,RM8.00,8
21/5/2013,Miscellaneous,Tabung Haji,Cash in Wallet,RM50.00,50
26/5/2013,Miscellaneous,Others,Cash in Wallet,RM10.00,10
28/5/2013,Miscellaneous,Others,Cash in Wallet,RM143.00,143
28/5/2013,Miscellaneous,Others,Cash in Wallet,RM987.00,987
28/5/2013,Miscellaneous,Others,Cash in Wallet,RM40.00,40
1/6/2013,Miscellaneous,Others,Cash in Wallet,RM50.00,50
1/6/2013,Miscellaneous,Others,Cash in Wallet,RM20.00,20
2/6/2013,Miscellaneous,Others,Cash in Wallet,RM10.00,10
24/4/2013,Fuel,Petronas,Credit Card,RM9.28,9.28
6/5/2013,Fuel,Petronas,Credit Card,RM10.55,10.55
13/5/2013,Fuel,Petronas,Credit Card,RM9.94,9.94
14/5/2013,Fuel,Petronas,Credit Card,RM9.21,9.21
14/5/2013,Fuel,Petronas,Credit Card,RM9.21,9.21
16/5/2013,Fuel,Petronas,Cash in Wallet,RM5.00,5
17/5/2013,Fuel,Petronas,Credit Card,RM9.61,9.61
20/5/2013,Fuel,Petronas,Credit Card,RM11.41,11.41
23/5/2013,Fuel,Petronas,Credit Card,RM10.30,10.3
27/5/2013,Fuel,Petronas,Credit Card,RM8.94,8.94
28/5/2013,Fuel,Petronas,Credit Card,RM10.36,10.36
30/5/2013,Fuel,Petronas,Credit Card,RM11.78,11.78
5/6/2013,Fuel,Petronas,Credit Card,RM10.88,10.88
24/5/2013,Repair and Maintenance,,Cash in Wallet,RM48.00,48
14/5/2013,Toiletries,Watson,Credit Card,RM48.50,48.5
20/5/2013,Electric,Tnb,Credit Card,RM194.50,194.5
